source_dataset,source_id,source_row_index,source_title,source_field,matched_text,matched_value,match_type,match_policy,topic_slug,topic_name,topic_depth,parent_slug,alias_name,candidate_name,suggested_parent_slug,suggested_depth,base_score,adjustment_score,final_score,relation_hint,is_existing_topic,needs_review,priority
course,971,3,인공지능과동물산업,course_name_clean,인공지능과동물산업,인공지능,topic_name,contains,artificial-intelligence,인공지능,1,,,,,,0.95,0.0,0.95,,true,false,P1
course,971,3,인공지능과동물산업,learning_objective_clean,"동물생명산업에서 필요한 인공지능, IoT 기술 등을 어떻게 응용하여 구현할 수 있는지 기술적인 부분을 배운다.",인공지능,topic_name,contains,artificial-intelligence,인공지능,1,,,,,,0.8,0.0,0.8,,true,false,P1
course,971,3,인공지능과동물산업,prerequisite_material_clean,"프로그래밍(코딩)을 직접 다루지 않으나, 코딩 예시를 보여줄 수 있음. 수업 중, 코딩 기초 지식은 없어도 됩니다.",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.68,0.0,0.68,prerequisite,true,false,P0
course,971,3,인공지능과동물산업,prerequisite_material_clean,"프로그래밍(코딩)을 직접 다루지 않으나, 코딩 예시를 보여줄 수 있음. 수업 중, 코딩 기초 지식은 없어도 됩니다.",코딩 기초,alias,contains,programming-basic-syntax,프로그래밍 기초 문법,2,programming,코딩 기초,,,,0.65,0.0,0.65,prerequisite,true,false,P0
course,1913,4,정치와데이터분석,prerequisite_material_clean,<정치학연구방법>을 수강했거나 유권자의 정치행태를 통계적으로 분석하고 싶은 학생들을 대상으로 하는 수업입니다. 만약 <정치학연구방법>이나 이와 비슷한 방법론 과목을 수강 하지 않은 학생들이 있으면 23주차에 진행할 변수측정과 자료수집에 관한 보충수업을 수강해야 합니다.,변수,depth3_candidate,contains,,,3,,,변수,programming-basic-syntax,3,0.65,0.0,0.65,prerequisite,false,true,P0
course,2604,5,인문학데이터마이닝,learning_objective_clean,데이터를 유형별로 구분하는 방법을 이해한다.프로그래밍을 통해 데이터를 분석하고 시각화 기술을 사용하여 효과적으로 표현한다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,2604,5,인문학데이터마이닝,learning_objective_clean,데이터를 유형별로 구분하는 방법을 이해한다.프로그래밍을 통해 데이터를 분석하고 시각화 기술을 사용하여 효과적으로 표현한다.,시각화,alias,contains,data-visualization,데이터 시각화,2,data-analysis,시각화,,,,0.75,-0.05,0.7,,true,false,P1
course,2604,5,인문학데이터마이닝,prerequisite_material_clean,"특별한 선수 과목과 지식은 없지만, 교양필수의 <컴퓨팅 사고력>이나 <파이썬 프로그래밍>을 수강하면 이해가 수월할 수 있음.",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.68,0.0,0.68,prerequisite,true,false,P0
course,2604,5,인문학데이터마이닝,prerequisite_material_clean,"특별한 선수 과목과 지식은 없지만, 교양필수의 <컴퓨팅 사고력>이나 <파이썬 프로그래밍>을 수강하면 이해가 수월할 수 있음.",파이썬 프로그래밍,alias,contains,python,Python,2,programming,파이썬 프로그래밍,,,,0.65,0.0,0.65,prerequisite,true,false,P0
course,2604,5,인문학데이터마이닝,prerequisite_material_clean,"특별한 선수 과목과 지식은 없지만, 교양필수의 <컴퓨팅 사고력>이나 <파이썬 프로그래밍>을 수강하면 이해가 수월할 수 있음.",파이썬,alias,contains,python,Python,2,programming,파이썬,,,,0.65,-0.05,0.6,prerequisite,true,false,P0
course,2604,5,인문학데이터마이닝,main_textbook_clean,"빅데이터 분석과 R 활용, 윤철호 저, 생능출판사, 2021",데이터 분석,topic_name,contains,data-analysis,데이터 분석,1,,,,,,0.5,0.0,0.5,,true,false,P1
course,3193,6,알고리즘과수학,course_name_clean,알고리즘과수학,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.95,0.0,0.95,,true,false,P0
course,3193,6,알고리즘과수학,prerequisite_material_clean,"특별한 선수 과목은 없고, 시중에 떠도는 퀴즈를 풀 때 필요한 지식이 있으면 좋다. 미분적분학이 필요하지는 않지만, 미분적분학을 공부할 수 있으면 충분하다.",미분적분학,alias,contains,calculus,미적분,2,math-statistics,미분적분학,,,,0.65,0.0,0.65,prerequisite,true,false,P1
course,3338,7,컴퓨터프로그래밍,course_name_clean,컴퓨터프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3338,7,컴퓨터프로그래밍,learning_objective_clean,주어진 문제를 해결할 수 있는 알고리즘을 설계하고 컴퓨터프로그래밍을 통해 구현한다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3338,7,컴퓨터프로그래밍,learning_objective_clean,주어진 문제를 해결할 수 있는 알고리즘을 설계하고 컴퓨터프로그래밍을 통해 구현한다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3338,7,컴퓨터프로그래밍,main_textbook_clean,"C언어 for beginner (개정4판), 우재남, 한빛아카데미",C언어,topic_name,contains,c-language,C언어,2,programming,,,,,0.5,0.0,0.5,,true,false,P0
course,3338,7,컴퓨터프로그래밍,main_textbook_clean,"C언어 for beginner (개정4판), 우재남, 한빛아카데미",C언어,alias,contains,c-language,C언어,2,programming,C언어,,,,0.5,-0.05,0.45,,true,false,P0
course,3346,8,회로이론,prerequisite_material_clean,"1. 미분, 적분의 기초 지식2. 행렬식의 계산3. 미분방정식 풀이의 기본 개념",행렬,depth3_candidate,contains,,,3,,,행렬,linear-algebra,3,0.65,0.0,0.65,prerequisite,false,true,P0
course,3380,16,고급컴퓨터프로그래밍,course_name_clean,고급컴퓨터프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3380,16,고급컴퓨터프로그래밍,prerequisite_material_clean,필수 선수과목 : 컴퓨터프로그래밍. C 언어를 모르는 학생은 수강할 수 없음.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.68,0.0,0.68,prerequisite,true,false,P0
course,3380,16,고급컴퓨터프로그래밍,main_textbook_clean,"C 프로그래밍 파워업그레이드, 윤성우, Infinity Books. 강의 교재/자료 홈페이지 제공",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.5,0.0,0.5,,true,false,P0
course,3380,16,고급컴퓨터프로그래밍,main_textbook_clean,"C 프로그래밍 파워업그레이드, 윤성우, Infinity Books. 강의 교재/자료 홈페이지 제공",C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.5,0.0,0.5,,true,false,P0
course,3406,17,로봇공학개론,prerequisite_material_clean,C 프로그래밍 언어.수식으로 나타난 이론을 프로그래밍으로 시뮬레이션 하는데 필요함.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.68,0.0,0.68,prerequisite,true,false,P0
course,3406,17,로봇공학개론,prerequisite_material_clean,C 프로그래밍 언어.수식으로 나타난 이론을 프로그래밍으로 시뮬레이션 하는데 필요함.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.65,0.0,0.65,prerequisite,true,false,P0
course,3423,22,선형대수,course_name_clean,선형대수,선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.95,0.0,0.95,,true,false,P1
course,3423,22,선형대수,learning_objective_clean,선형대수의 주요 주제에 대한 이해,선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.8,0.0,0.8,,true,false,P1
course,3423,22,선형대수,main_textbook_clean,"MATLAB으로 배우는 선형대수학 ; 이광연 외 1인 ; 한빛아카데미, 2015",선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.5,0.0,0.5,,true,false,P1
course,3423,22,선형대수,main_textbook_clean,"MATLAB으로 배우는 선형대수학 ; 이광연 외 1인 ; 한빛아카데미, 2015",선형대수학,alias,contains,linear-algebra,선형대수,2,math-statistics,선형대수학,,,,0.5,0.0,0.5,,true,false,P1
course,3424,23,선형대수,course_name_clean,선형대수,선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.95,0.0,0.95,,true,false,P1
course,3424,23,선형대수,learning_objective_clean,공학에서 자주 등장하는 선형시스템 분석 이해에 필요한 선형대수 이론을 숙지한다.,선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.8,0.0,0.8,,true,false,P1
course,3424,23,선형대수,main_textbook_clean,한 걸음씩 알아가는 선형대수학(출판사: 한빛아카데미) (원저: Linear Algebra: Step by Step (저자: Kuldeep Singh)),선형대수,topic_name,contains,linear-algebra,선형대수,2,math-statistics,,,,,0.5,0.0,0.5,,true,false,P1
course,3424,23,선형대수,main_textbook_clean,한 걸음씩 알아가는 선형대수학(출판사: 한빛아카데미) (원저: Linear Algebra: Step by Step (저자: Kuldeep Singh)),선형대수학,alias,contains,linear-algebra,선형대수,2,math-statistics,선형대수학,,,,0.5,0.0,0.5,,true,false,P1
course,3429,24,신호및시스템,prerequisite_material_clean,IT미적분학,미적분,topic_name,contains,calculus,미적분,2,math-statistics,,,,,0.68,0.0,0.68,prerequisite,true,false,P1
course,3430,25,디지털통신,prerequisite_material_clean,"IT 미적분학, 신호 및 시스템, 확률 및 통계, 통신이론",미적분,topic_name,contains,calculus,미적분,2,math-statistics,,,,,0.68,0.0,0.68,prerequisite,true,false,P1
course,3430,25,디지털통신,prerequisite_material_clean,"IT 미적분학, 신호 및 시스템, 확률 및 통계, 통신이론",확률 및 통계,alias,contains,probability-statistics,확률과 통계,2,math-statistics,확률 및 통계,,,,0.65,0.0,0.65,prerequisite,true,false,P1
course,3437,26,마이크로프로세서실험,learning_objective_clean,컴퓨터 동작원리를 이해하고 기본적인 프로그래밍 기술을 습득한다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3437,26,마이크로프로세서실험,prerequisite_material_clean,컴퓨터 구조논리회로(디지털 시스템)디지털 실험,컴퓨터 구조,alias,contains,computer-architecture,컴퓨터구조,2,computer-science-basics,컴퓨터 구조,,,,0.65,0.0,0.65,prerequisite,true,false,P1
course,3450,28,컴퓨터구조,course_name_clean,컴퓨터구조,컴퓨터구조,topic_name,contains,computer-architecture,컴퓨터구조,2,computer-science-basics,,,,,0.95,0.0,0.95,,true,false,P1
course,3450,28,컴퓨터구조,main_textbook_clean,"1. 최신 컴퓨터구조, 임석구,홍경호, 한빛아카데미 2.Computer System Architecture, M. Morris Mano, Prentice Hall.,",컴퓨터구조,topic_name,contains,computer-architecture,컴퓨터구조,2,computer-science-basics,,,,,0.5,0.0,0.5,,true,false,P1
course,3453,29,회로이론,prerequisite_material_clean,"기초전자공학, 공학수학, 대학물리, 미적분학",미적분,topic_name,contains,calculus,미적분,2,math-statistics,,,,,0.68,0.0,0.68,prerequisite,true,false,P1
course,3460,30,실시간신호처리,learning_objective_clean,RTOS 활용 능력 및 실시간 구현 및 문제 해결 능력을 배양하여 실무 능력 향상,문제 해결 능력,alias,contains,problem-solving-coding-basics,문제 해결과 코딩 기초,2,programming,문제 해결 능력,,,,0.75,0.0,0.75,,true,false,P0
course,3460,30,실시간신호처리,main_textbook_clean,배포되는 강의자료 및 실습 자료,배포,topic_name,contains,deployment,배포,2,devtools-devops,,,,,0.5,0.0,0.5,,true,false,P1
course,3524,32,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3524,32,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3524,32,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3524,32,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3524,32,C프로그래밍,main_textbook_clean,개정판 누구나 쉽게 즐기는 C언어 콘서트,C언어,topic_name,contains,c-language,C언어,2,programming,,,,,0.5,0.0,0.5,,true,false,P0
course,3524,32,C프로그래밍,main_textbook_clean,개정판 누구나 쉽게 즐기는 C언어 콘서트,C언어,alias,contains,c-language,C언어,2,programming,C언어,,,,0.5,-0.05,0.45,,true,false,P0
course,3525,33,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3525,33,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3525,33,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3525,33,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3525,33,C프로그래밍,main_textbook_clean,개정3판 명품 C언어 프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.5,0.0,0.5,,true,false,P0
course,3525,33,C프로그래밍,main_textbook_clean,개정3판 명품 C언어 프로그래밍,C언어,topic_name,contains,c-language,C언어,2,programming,,,,,0.5,0.0,0.5,,true,false,P0
course,3525,33,C프로그래밍,main_textbook_clean,개정3판 명품 C언어 프로그래밍,C언어,alias,contains,c-language,C언어,2,programming,C언어,,,,0.5,-0.05,0.45,,true,false,P0
course,3526,34,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3526,34,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3526,34,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3526,34,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3526,34,C프로그래밍,main_textbook_clean,"누구나 쉽게 즐기는 C언어 콘서트. 개정 3판. 천인국 지음, 생능출판사",C언어,topic_name,contains,c-language,C언어,2,programming,,,,,0.5,0.0,0.5,,true,false,P0
course,3526,34,C프로그래밍,main_textbook_clean,"누구나 쉽게 즐기는 C언어 콘서트. 개정 3판. 천인국 지음, 생능출판사",C언어,alias,contains,c-language,C언어,2,programming,C언어,,,,0.5,-0.05,0.45,,true,false,P0
course,3527,35,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3527,35,C프로그래밍,learning_objective_clean,"c 언어 프로그래밍을 활용하여 자연수, 정수, 실수에 대한 추상화를 유도하므로, 문제 해결을 위한 필요한 데이터 타입을 만들수 있는 능력을 연마한다.기존 문제점들을 해결한 사례들을 분석하고 실습 하므로 새로운 문제들을 해결하기위한 방안을 스스로 만들어 내고, 그 방안을 C 언어를 사용하여 프로그래밍화하여 결과를 입증하므로 문제 해결을 위한 창의성을 키운다.",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3528,36,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3528,36,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3528,36,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3528,36,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3529,37,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3529,37,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3529,37,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3529,37,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3529,37,C프로그래밍,main_textbook_clean,"누구나 쉽게 즐기는 C언어 콘서트(개정3판), 천인국 저, 생능출판사, 2021.07.23 출판",C언어,topic_name,contains,c-language,C언어,2,programming,,,,,0.5,0.0,0.5,,true,false,P0
course,3529,37,C프로그래밍,main_textbook_clean,"누구나 쉽게 즐기는 C언어 콘서트(개정3판), 천인국 저, 생능출판사, 2021.07.23 출판",C언어,alias,contains,c-language,C언어,2,programming,C언어,,,,0.5,-0.05,0.45,,true,false,P0
course,3530,38,C프로그래밍,course_name_clean,C프로그래밍,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3530,38,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3530,38,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,알고리즘,topic_name,contains,algorithms,알고리즘,2,computer-science-basics,,,,,0.8,0.0,0.8,,true,false,P0
course,3530,38,C프로그래밍,learning_objective_clean,이론 시간에 배운 C 프로그래밍 기법을 적용하여 주어진 문제를 창의적으로 해결하는 알고리즘을 작성할 수 있다.,C 프로그래밍,alias,contains,c-language,C언어,2,programming,C 프로그래밍,,,,0.75,0.0,0.75,,true,false,P0
course,3532,39,자바프로그래밍1,course_name_clean,자바프로그래밍1,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3532,39,자바프로그래밍1,course_name_clean,자바프로그래밍1,자바,alias,contains,java,Java,2,programming,자바,,,,0.9,-0.05,0.85,,true,false,P1
course,3532,39,자바프로그래밍1,learning_objective_clean,소규모 프로그래밍 과제가 주어졌을 때 자바를 이용해 해결할 수 있게 된다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3532,39,자바프로그래밍1,learning_objective_clean,소규모 프로그래밍 과제가 주어졌을 때 자바를 이용해 해결할 수 있게 된다.,자바,alias,contains,java,Java,2,programming,자바,,,,0.75,-0.05,0.7,,true,false,P1
course,3536,40,자바프로그래밍1,course_name_clean,자바프로그래밍1,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3536,40,자바프로그래밍1,course_name_clean,자바프로그래밍1,자바,alias,contains,java,Java,2,programming,자바,,,,0.9,-0.05,0.85,,true,false,P1
course,3536,40,자바프로그래밍1,learning_objective_clean,"실습 시간의 예제를 구현하고, 목적에 따라 수정을 추가하여 다양한 형태의 프로그래밍 결과를 학습",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
course,3536,40,자바프로그래밍1,main_textbook_clean,"어서와 Java는 처음이지!, 천인국, 인피니티북스.",Java,topic_name,contains,java,Java,2,programming,,,,,0.5,0.0,0.5,,true,false,P1
course,3537,41,자바프로그래밍1,course_name_clean,자바프로그래밍1,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.95,0.0,0.95,,true,false,P0
course,3537,41,자바프로그래밍1,course_name_clean,자바프로그래밍1,자바,alias,contains,java,Java,2,programming,자바,,,,0.9,-0.05,0.85,,true,false,P1
course,3537,41,자바프로그래밍1,learning_objective_clean,소규모 프로그래밍 과제가 주어졌을 때 자바를 이용해 해결할 수 있게 된다.,프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.8,0.0,0.8,,true,false,P0
