topic_slug,alias_name,language,alias_type,match_policy,priority,note
rest-api,RESTful API,en,variant,normalized_exact,P1,
authentication-authorization,인증,ko,variant,contains,P1,
authentication-authorization,인가,ko,variant,contains,P1,
authentication-authorization,Authentication,en,english,normalized_exact,P1,
authentication-authorization,Authorization,en,english,normalized_exact,P1,
web-security-basics,웹 보안,ko,variant,contains,P1,
web-security-basics,Web Security,en,english,normalized_exact,P1,
django,Django,en,english,normalized_exact,P1,
spring-boot,Spring Boot,en,english,normalized_exact,P1,
react,React,en,english,normalized_exact,P1,
vue,Vue,en,english,normalized_exact,P1
database,DB,en,abbreviation,exact,P1,
database,Database,en,english,normalized_exact,P1,
database,데이타베이스,ko,variant,contains,P1,샘플 데이터 표현 대응
database,데이터 베이스,ko,variant,contains,P1,
sql,쿼리 언어,ko,synonym,contains,P1,샘플 데이터 등장
sql,Query Language,en,english,normalized_exact,P1,
sql,SQL의 이해,ko,source_title,contains,P1,샘플 데이터 등장
sql,MySQL,en,variant,normalized_exact,P1,SQL 관련 리소스 매칭용
relational-database,RDB,en,abbreviation,exact,P1,
relational-database,RDBMS,en,abbreviation,exact,P1,
relational-database,Relational Database,en,english,normalized_exact,P1,
relational-database,관계형 DB,mixed,variant,contains,P1,
nosql,비관계형 데이터베이스,ko,synonym,contains,P1,
data-modeling,DB 모델링,mixed,variant,contains,P1,
data-modeling,데이터베이스 모델링,ko,variant,contains,P1,
data-modeling,Database Modeling,en,english,normalized_exact,P1,
normalization,Normalization,en,english,normalized_exact,P1,
transactions,Transaction,en,english,normalized_exact,P1,
database-design,DB 설계,mixed,variant,contains,P1,
database-design,데이터베이스 시스템 설계,ko,variant,contains,P1,
orm,Object Relational Mapping,en,english,normalized_exact,P1,
orm,Object-Relational Mapping,en,english,normalized_exact,P1
linear-algebra,선형대수학,ko,variant,contains,P1,샘플 데이터 등장
linear-algebra,Linear Algebra,en,english,normalized_exact,P1,
linear-algebra,Linear Algebra with Applications,en,source_title,contains,P1,교재명 보조 매칭
calculus,Calculus,en,english,normalized_exact,P1,
calculus,미분적분학,ko,variant,contains,P1,
probability-statistics,확률및통계,ko,variant,contains,P1,샘플 데이터 등장
probability-statistics,확률 및 통계,ko,variant,contains,P1,
probability-statistics,Probability and Statistics,en,english,normalized_exact,P1,
probability-statistics,통계학,ko,variant,contains,P1,
discrete-mathematics,Discrete Mathematics,en,english,normalized_exact,P1,
discrete-mathematics,이산 수학,ko,variant,contains,P1,
optimization,Optimization,en,english,normalized_exact,P1,
statistical-inference,Statistical Inference,en,english,normalized_exact,P1,
statistical-inference,수리통계학,ko,variant,contains,P1,
regression-analysis,Regression Analysis,en,english,normalized_exact,P1,
regression-analysis,회귀 분석,ko,variant,contains,P1,
numerical-analysis,수치해석학,ko,variant,contains,P1,
numerical-analysis,응용수치해석,ko,variant,contains,P1,샘플 데이터 등장
numerical-analysis,Numerical Analysis,en,english,normalized_exact,P1,
numerical-analysis,Numerical Methods,en,english,normalized_exact,P1,
numerical-analysis,Numerical Methods for Engineers,en,source_title,contains,P1,교재명 보조 매칭
data-collection,Data Collection,en,english,normalized_exact,P1,
data-collection,데이터 수집 방법,ko,variant,contains,P1,
data-preprocessing,Data Preprocessing,en,english,normalized_exact,P1,
data-preprocessing,전처리,ko,variant,contains,P1,
numpy,NumPy,en,english,normalized_exact,P1,
numpy,Numpy,en,variant,normalized_exact,P1,
pandas,Pandas,en,english,normalized_exact,P1,
exploratory-data-analysis,EDA,en,abbreviation,exact,P1,
exploratory-data-analysis,Exploratory Data Analysis,en,english,normalized_exact,P1,
exploratory-data-analysis,탐색적 분석,ko,variant,contains,P1,
data-visualization,Data Visualization,en,english,normalized_exact,P1,
data-visualization,시각화,ko,variant,contains,P1,
statistical-analysis,Statistical Analysis,en,english,normalized_exact,P1,
statistical-analysis,자료 분석,ko,variant,contains,P1,
feature-engineering,Feature Engineering,en,english,normalized_exact,P1,
feature-engineering,특징 공학,ko,variant,contains,P1,
data-analysis-project,데이터 분석 실습,ko,variant,contains,P1,
data-analysis-project,데이터 분석 프로젝트,ko,variant,contains,P1
artificial-intelligence,AI,en,abbreviation,exact,P1,
artificial-intelligence,Artificial Intelligence,en,english,normalized_exact,P1,
artificial-intelligence,인공지능기초,ko,source_title,contains,P1,샘플 데이터 등장
artificial-intelligence,AI 리터러시,mixed,source_title,contains,P1,샘플 데이터 등장
machine-learning,기계학습,ko,synonym,contains,P1,샘플 데이터 등장
machine-learning,ML,en,abbreviation,exact,P1,
machine-learning,Machine Learning,en,english,normalized_exact,P1,
deep-learning,Deep Learning,en,english,normalized_exact,P1,
natural-language-processing,NLP,en,abbreviation,exact,P1,
natural-language-processing,Natural Language Processing,en,english,normalized_exact,P1,
natural-language-processing,자연어처리,ko,variant,contains,P1,붙여쓰기 대응
computer-vision,Computer Vision,en,english,normalized_exact,P1,
computer-vision,컴퓨터비전,ko,variant,contains,P1,붙여쓰기 대응
generative-ai,Generative AI,en,english,normalized_exact,P1,
generative-ai,GenAI,en,abbreviation,exact,P1,
generative-ai,생성형AI,ko,variant,contains,P1,붙여쓰기 대응
recommender-systems,Recommender System,en,english,normalized_exact,P1,
recommender-systems,Recommendation System,en,english,normalized_exact,P1,
recommender-systems,추천시스템,ko,variant,contains,P1,
reinforcement-learning,RL,en,abbreviation,exact,P1,
reinforcement-learning,Reinforcement Learning,en,english,normalized_exact,P1,
model-evaluation,Model Evaluation,en,english,normalized_exact,P1,
model-evaluation,모델평가,ko,variant,contains,P1,
mlops-basics,MLOps,en,abbreviation,normalized_exact,P1,
ai-ethics,Responsible AI,en,english,normalized_exact,P1,샘플 데이터 등장
ai-ethics,윤리적 AI,ko,variant,contains,P1,
ai-ethics,AI Governance,en,english,normalized_exact,P1,
ai-ethics,AI 거버넌스,mixed,variant,contains,P1
git,git,en,variant,normalized_exact,P1,
github,깃허브,ko,synonym,contains,P1,
cli,Command Line Interface,en,english,normalized_exact,P1,
cli,터미널,ko,variant,contains,P1,
cli,명령줄,ko,variant,contains,P1,
ide,Integrated Development Environment,en,english,normalized_exact,P1,
linux,리눅스,ko,synonym,contains,P1,
server-basics,Server Basics,en,english,normalized_exact,P1,
server-basics,서버,ko,variant,contains,P1,
docker,도커,ko,synonym,contains,P1,
deployment,Deployment,en,english,normalized_exact,P1,
deployment,서비스 배포,ko,variant,contains,P1,
ci-cd,Continuous Integration,en,english,normalized_exact,P1,
ci-cd,Continuous Deployment,en,english,normalized_exact,P1,
ci-cd,CI CD,en,variant,normalized_exact,P1,
cloud-basics,클라우드 컴퓨팅,ko,synonym,contains,P1,샘플 데이터 등장
cloud-basics,Cloud Computing,en,english,normalized_exact,P1,
cloud-basics,Cloud Basics,en,english,normalized_exact,P1,
collaboration-workflow,협업 흐름,ko,variant,contains,P1,
collaboration-workflow,Collaboration Workflow,en,english,normalized_exact,P1,
code-review,Code Review,en,english,normalized_exact,P1,
code-review,PR 리뷰,mixed,variant,contains,P1,
documentation,Documentation,en,english,normalized_exact,P1,
documentation,문서 작성,ko,variant,contains,P1,
issue-management,Issue Tracking,en,english,normalized_exact,P1,
issue-management,Issue Management,en,english,normalized_exact,P1
