topic_lookup_key,alias_name,source,language,alias_type,match_policy,priority,note
operating-systems,운영체제론,seed,ko,variant,contains,P1,
networks,컴퓨터네트워크,seed,ko,source_title,contains,P0,샘플 데이터 등장
networks,컴퓨터 네트워크,seed,ko,variant,contains,P0,
networks,Computer Network,seed,en,english,normalized_exact,P0,
networks,Computer Networking,seed,en,english,normalized_exact,P1,
networks,네트워크 기술,seed,ko,variant,contains,P1,
computer-architecture,Computer Architecture,seed,en,english,normalized_exact,P1,
computer-architecture,컴퓨터 아키텍처,seed,ko,variant,contains,P1,
computer-architecture,컴퓨터 구조,seed,ko,variant,contains,P1,
system-programming-basics,System Programming,seed,en,english,normalized_exact,P1,
system-programming-basics,시스템 프로그래밍,seed,ko,variant,contains,P1,
software-design,Software Design,seed,en,english,normalized_exact,P1,
software-design,소프트웨어 아키텍처,seed,ko,variant,contains,P1,
object-oriented-design,OO Design,seed,en,abbreviation,normalized_exact,P1,
object-oriented-design,Object-Oriented Design,seed,en,english,normalized_exact,P1,
object-oriented-design,객체지향 설계 원칙,seed,ko,variant,contains,P1,
design-patterns,Design Pattern,seed,en,english,normalized_exact,P1,
design-patterns,Design Patterns,seed,en,english,normalized_exact,P1,
requirements-analysis,요구사항 정의,seed,ko,variant,contains,P1,
requirements-analysis,Requirements Analysis,seed,en,english,normalized_exact,P1,
testing,Software Testing,seed,en,english,normalized_exact,P1,
testing,테스팅,seed,ko,variant,contains,P1,
testing,단위 테스트,seed,ko,variant,contains,P1,
api-design,API Design,seed,en,english,normalized_exact,P1,
api-design,API 문서화,seed,ko,variant,contains,P1,
code-quality-refactoring,리팩토링,seed,ko,variant,contains,P1,
code-quality-refactoring,Refactoring,seed,en,english,normalized_exact,P1,
code-quality-refactoring,코드 품질,seed,ko,variant,contains,P1,
project-structuring,프로젝트 구조,seed,ko,variant,contains,P1,
project-structuring,Project Structure,seed,en,english,normalized_exact,P1,
html-css,HTML,seed,en,abbreviation,exact,P1,
html-css,CSS,seed,en,abbreviation,exact,P1,
html-css,HTML CSS,seed,en,variant,normalized_exact,P1,
html-css,웹 퍼블리싱,seed,ko,variant,contains,P2,
javascript-web-basics,DOM,seed,en,abbreviation,exact,P1,
javascript-web-basics,브라우저 API,seed,ko,variant,contains,P1,
javascript-web-basics,JavaScript 웹,seed,mixed,variant,contains,P1,
frontend-development,프론트엔드,seed,ko,variant,contains,P1,
frontend-development,프론트앤드,seed,ko,variant,contains,P1,샘플 오탈자 대응
frontend-development,Frontend,seed,en,english,normalized_exact,P1,
frontend-development,Front-end,seed,en,english,normalized_exact,P1,
backend-development,백엔드,seed,ko,variant,contains,P1,
backend-development,백앤드,seed,ko,variant,contains,P1,샘플 오탈자 대응
backend-development,Backend,seed,en,english,normalized_exact,P1,
backend-development,Back-end,seed,en,english,normalized_exact,P1,
rest-api,REST,seed,en,abbreviation,exact,P1,
rest-api,REST API,seed,en,variant,normalized_exact,P1,
rest-api,RESTful API,seed,en,variant,normalized_exact,P1,
authentication-authorization,인증,seed,ko,variant,contains,P1,
authentication-authorization,인가,seed,ko,variant,contains,P1,
authentication-authorization,Authentication,seed,en,english,normalized_exact,P1,
authentication-authorization,Authorization,seed,en,english,normalized_exact,P1,
web-security-basics,웹 보안,seed,ko,variant,contains,P1,
web-security-basics,Web Security,seed,en,english,normalized_exact,P1,
django,Django,seed,en,english,normalized_exact,P1,
spring-boot,Spring Boot,seed,en,english,normalized_exact,P1,
react,React,seed,en,english,normalized_exact,P1,
vue,Vue,seed,en,english,normalized_exact,P1,
database,DB,seed,en,abbreviation,exact,P1,
database,Database,seed,en,english,normalized_exact,P1,
database,데이타베이스,seed,ko,variant,contains,P1,샘플 데이터 표현 대응
database,데이터 베이스,seed,ko,variant,contains,P1,
sql,쿼리 언어,seed,ko,synonym,contains,P1,샘플 데이터 등장
sql,Query Language,seed,en,english,normalized_exact,P1,
sql,SQL의 이해,seed,ko,source_title,contains,P1,샘플 데이터 등장
sql,MySQL,seed,en,variant,normalized_exact,P1,SQL 관련 리소스 매칭용
relational-database,RDB,seed,en,abbreviation,exact,P1,
relational-database,RDBMS,seed,en,abbreviation,exact,P1,
relational-database,Relational Database,seed,en,english,normalized_exact,P1,
relational-database,관계형 DB,seed,mixed,variant,contains,P1,
nosql,비관계형 데이터베이스,seed,ko,synonym,contains,P1,
data-modeling,DB 모델링,seed,mixed,variant,contains,P1,
data-modeling,데이터베이스 모델링,seed,ko,variant,contains,P1,
data-modeling,Database Modeling,seed,en,english,normalized_exact,P1,
normalization,Normalization,seed,en,english,normalized_exact,P1,
transactions,Transaction,seed,en,english,normalized_exact,P1,
database-design,DB 설계,seed,mixed,variant,contains,P1,
database-design,데이터베이스 시스템 설계,seed,ko,variant,contains,P1,
orm,Object Relational Mapping,seed,en,english,normalized_exact,P1,
orm,Object-Relational Mapping,seed,en,english,normalized_exact,P1,
linear-algebra,선형대수학,seed,ko,variant,contains,P1,샘플 데이터 등장
linear-algebra,Linear Algebra,seed,en,english,normalized_exact,P1,
linear-algebra,Linear Algebra with Applications,seed,en,source_title,contains,P1,교재명 보조 매칭
calculus,Calculus,seed,en,english,normalized_exact,P1,
calculus,미분적분학,seed,ko,variant,contains,P1,
probability-statistics,확률및통계,seed,ko,variant,contains,P1,샘플 데이터 등장
probability-statistics,확률 및 통계,seed,ko,variant,contains,P1,
probability-statistics,Probability and Statistics,seed,en,english,normalized_exact,P1,
probability-statistics,통계학,seed,ko,variant,contains,P1,
discrete-mathematics,Discrete Mathematics,seed,en,english,normalized_exact,P1,
discrete-mathematics,이산 수학,seed,ko,variant,contains,P1,
optimization,Optimization,seed,en,english,normalized_exact,P1,
statistical-inference,Statistical Inference,seed,en,english,normalized_exact,P1,
statistical-inference,수리통계학,seed,ko,variant,contains,P1,
regression-analysis,Regression Analysis,seed,en,english,normalized_exact,P1,
regression-analysis,회귀 분석,seed,ko,variant,contains,P1,
numerical-analysis,수치해석학,seed,ko,variant,contains,P1,
numerical-analysis,응용수치해석,seed,ko,variant,contains,P1,샘플 데이터 등장
numerical-analysis,Numerical Analysis,seed,en,english,normalized_exact,P1,
numerical-analysis,Numerical Methods,seed,en,english,normalized_exact,P1,
numerical-analysis,Numerical Methods for Engineers,seed,en,source_title,contains,P1,교재명 보조 매칭
data-collection,Data Collection,seed,en,english,normalized_exact,P1,
data-collection,데이터 수집 방법,seed,ko,variant,contains,P1,
data-preprocessing,Data Preprocessing,seed,en,english,normalized_exact,P1,
data-preprocessing,전처리,seed,ko,variant,contains,P1,
numpy,NumPy,seed,en,english,normalized_exact,P1,
numpy,Numpy,seed,en,variant,normalized_exact,P1,
pandas,Pandas,seed,en,english,normalized_exact,P1,
exploratory-data-analysis,EDA,seed,en,abbreviation,exact,P1,
exploratory-data-analysis,Exploratory Data Analysis,seed,en,english,normalized_exact,P1,
exploratory-data-analysis,탐색적 분석,seed,ko,variant,contains,P1,
data-visualization,Data Visualization,seed,en,english,normalized_exact,P1,
data-visualization,시각화,seed,ko,variant,contains,P1,
statistical-analysis,Statistical Analysis,seed,en,english,normalized_exact,P1,
statistical-analysis,자료 분석,seed,ko,variant,contains,P1,
feature-engineering,Feature Engineering,seed,en,english,normalized_exact,P1,
feature-engineering,특징 공학,seed,ko,variant,contains,P1,
data-analysis-project,데이터 분석 실습,seed,ko,variant,contains,P1,
data-analysis-project,데이터 분석 프로젝트,seed,ko,variant,contains,P1,
artificial-intelligence,AI,seed,en,abbreviation,exact,P1,
artificial-intelligence,Artificial Intelligence,seed,en,english,normalized_exact,P1,
artificial-intelligence,인공지능기초,seed,ko,source_title,contains,P1,샘플 데이터 등장
artificial-intelligence,AI 리터러시,seed,mixed,source_title,contains,P1,샘플 데이터 등장
machine-learning,기계학습,seed,ko,synonym,contains,P1,샘플 데이터 등장
machine-learning,ML,seed,en,abbreviation,exact,P1,
machine-learning,Machine Learning,seed,en,english,normalized_exact,P1,
deep-learning,Deep Learning,seed,en,english,normalized_exact,P1,
natural-language-processing,NLP,seed,en,abbreviation,exact,P1,
natural-language-processing,Natural Language Processing,seed,en,english,normalized_exact,P1,
natural-language-processing,자연어처리,seed,ko,variant,contains,P1,붙여쓰기 대응
computer-vision,Computer Vision,seed,en,english,normalized_exact,P1,
computer-vision,컴퓨터비전,seed,ko,variant,contains,P1,붙여쓰기 대응
generative-ai,Generative AI,seed,en,english,normalized_exact,P1,
generative-ai,GenAI,seed,en,abbreviation,exact,P1,
generative-ai,생성형AI,seed,ko,variant,contains,P1,붙여쓰기 대응
recommender-systems,Recommender System,seed,en,english,normalized_exact,P1,
recommender-systems,Recommendation System,seed,en,english,normalized_exact,P1,
recommender-systems,추천시스템,seed,ko,variant,contains,P1,
reinforcement-learning,RL,seed,en,abbreviation,exact,P1,
reinforcement-learning,Reinforcement Learning,seed,en,english,normalized_exact,P1,
model-evaluation,Model Evaluation,seed,en,english,normalized_exact,P1,
model-evaluation,모델평가,seed,ko,variant,contains,P1,
mlops-basics,MLOps,seed,en,abbreviation,normalized_exact,P1,
ai-ethics,Responsible AI,seed,en,english,normalized_exact,P1,샘플 데이터 등장
ai-ethics,윤리적 AI,seed,ko,variant,contains,P1,
ai-ethics,AI Governance,seed,en,english,normalized_exact,P1,
ai-ethics,AI 거버넌스,seed,mixed,variant,contains,P1,
git,git,seed,en,variant,normalized_exact,P1,
github,깃허브,seed,ko,synonym,contains,P1,
cli,Command Line Interface,seed,en,english,normalized_exact,P1,
cli,터미널,seed,ko,variant,contains,P1,
cli,명령줄,seed,ko,variant,contains,P1,
ide,Integrated Development Environment,seed,en,english,normalized_exact,P1,
linux,리눅스,seed,ko,synonym,contains,P1,
server-basics,Server Basics,seed,en,english,normalized_exact,P1,
server-basics,서버,seed,ko,variant,contains,P1,
docker,도커,seed,ko,synonym,contains,P1,
deployment,Deployment,seed,en,english,normalized_exact,P1,
deployment,서비스 배포,seed,ko,variant,contains,P1,
ci-cd,Continuous Integration,seed,en,english,normalized_exact,P1,
ci-cd,Continuous Deployment,seed,en,english,normalized_exact,P1,
ci-cd,CI CD,seed,en,variant,normalized_exact,P1,
cloud-basics,클라우드 컴퓨팅,seed,ko,synonym,contains,P1,샘플 데이터 등장
cloud-basics,Cloud Computing,seed,en,english,normalized_exact,P1,
cloud-basics,Cloud Basics,seed,en,english,normalized_exact,P1,
collaboration-workflow,협업 흐름,seed,ko,variant,contains,P1,
collaboration-workflow,Collaboration Workflow,seed,en,english,normalized_exact,P1,
code-review,Code Review,seed,en,english,normalized_exact,P1,
code-review,PR 리뷰,seed,mixed,variant,contains,P1,
documentation,Documentation,seed,en,english,normalized_exact,P1,
documentation,문서 작성,seed,ko,variant,contains,P1,
issue-management,Issue Tracking,seed,en,english,normalized_exact,P1,
issue-management,Issue Management,seed,en,english,normalized_exact,P1,
