candidate_name,suggested_parent_slug,suggested_depth,occurrence_count,course_occurrence_count,resource_occurrence_count,max_relevance_score,avg_relevance_score,matched_source_titles,matched_fields,match_types,decision,merge_target_topic_slug,reviewer_note
해시,data-structures,3,11,11,0,0.8000,0.8000,자료구조및알고리즘PBL | 자료구조 | 집적회로및시스템설계 | 통신공학 | 알고리즘,learning_objective_clean,depth3_candidate,pending,,
조건문,programming-basic-syntax,3,9,4,5,0.9500,0.8600,컴퓨터프로그래밍 | 고급컴퓨터프로그래밍 | 객체지향프로그래밍 | 파이썬과 데이터마이닝 | 자바프로그래밍,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
TCP/IP,networks,3,9,8,1,0.9300,0.8144,네트워크프로그래밍 | 컴퓨터망프로그래밍 | 컴퓨터네트워크,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
기댓값과 분산,probability-statistics,3,9,7,2,0.9300,0.8167,분산및병렬프로그래밍 | 머신러닝을위한통계학2 | 확률및통계 | 정보보안기술 | 생성형 인공지능 입문,course_name_clean|learning_objective_clean|description_body_clean,depth3_candidate,pending,,
CNN,deep-learning,3,9,5,4,0.8000,0.8000,AI기초 | 인공지능개론 | 데이터마이닝 | 조선해양기계학습 | 딥러닝의 기초,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
RNN,deep-learning,3,9,6,3,0.8000,0.8000,AI기초 | 인공지능개론 | 데이터마이닝 | 조선해양기계학습 | 딥러닝의 기초,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
Transformer,deep-learning,3,8,1,7,0.9500,0.8700,고급자연어처리 | 생성형 인공지능 입문 | 현대 딥러닝 구조의 이해와 응용 | 인공지능을 위한 기계학습 입문 | 대형언어모델의 기초,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
고윳값과 고유벡터,linear-algebra,3,8,7,1,0.9500,0.8188,선형대수 | 공학선형대수학 | 공학수학1 | 전산수학1,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
반복문,programming-basic-syntax,3,8,3,5,0.9500,0.8300,자바프로그래밍2 | 컴퓨터프로그래밍 | 파이썬과 데이터마이닝 | 자바프로그래밍 | 데이터분석기초,prerequisite_material_clean|learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
선형변환,linear-algebra,3,8,7,1,0.9300,0.8163,선형대수 | 공학선형대수학 | 전산수학1,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
벡터공간,linear-algebra,3,7,6,1,0.9300,0.8186,선형대수 | 공학선형대수학 | 디지털통신 | 전산수학1,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
지도학습,machine-learning,3,6,4,2,0.8000,0.8000,데이터마이닝 | 인공지능 | 머신러닝을위한통계학2 | 기계학습응용 | 모두를 위한 머신러닝,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
표본추출,probability-statistics,3,6,6,0,0.8000,0.8000,디지털제어공학 | 디지털신호처리 | 확률및통계 | 디지털통신,learning_objective_clean,depth3_candidate,pending,,
확률분포,probability-statistics,3,6,6,0,0.8000,0.8000,확률과정 | 확률과통계 | 확률및통계,learning_objective_clean,depth3_candidate,pending,,
표현식,programming-basic-syntax,3,6,6,0,0.8000,0.8000,알고리즘개론 | 공학수학 I | 공학수학 II | 오픈소스 웹소프트웨어,learning_objective_clean,depth3_candidate,pending,,
재귀,algorithms,3,5,3,2,0.9300,0.8320,알고리즘 | 자료구조 | 생성형 인공지능 입문 | 코틀린프로그래밍 기초,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
동적 계획법,algorithms,3,5,5,0,0.8000,0.8000,컴퓨터알고리즘 | 알고리즘의 기초 | 알고리즘,learning_objective_clean,depth3_candidate,pending,,
인덱스,database-design,3,5,5,0,0.8000,0.8000,객체지향프로그래밍 | 객체지향프로그래밍실습 | 통신공학 | 빅데이터시스템설계,learning_objective_clean,depth3_candidate,pending,,
비지도학습,machine-learning,3,5,4,1,0.8000,0.8000,데이터마이닝 | 인공지능 | 머신러닝을위한통계학2 | 공학응용인공지능 | 모두를 위한 머신러닝,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
HTTP,networks,3,5,5,0,0.8000,0.8000,객체지향프로그래밍 | 객체지향프로그래밍실습 | 컴퓨터네트워크 | 차세대 네트워크,learning_objective_clean,depth3_candidate,pending,,
라우팅,networks,3,4,3,1,0.9300,0.8325,컴퓨터네트워크 | 인터넷과 미래 네트워크 기술,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
쿼리,sql,3,4,2,2,0.9300,0.8650,데이터베이스 | 빅데이터시스템설계 | 데이터베이스 실무 | 데이터베이스 응용,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
자료형,programming-basic-syntax,3,4,2,2,0.8200,0.8100,프로그래밍언어론 | 기계학습입문 | 프로그래밍을 위한 컴퓨팅적 사고 | 컴퓨터과학과 코딩(심화),learning_objective_clean|description_body_clean,depth3_candidate,pending,,
역전파,deep-learning,3,4,1,3,0.8000,0.8000,기계학습 | 모두를 위한 머신러닝 | 현대 딥러닝 구조의 이해와 응용 | AI 알고리즘,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
임베딩,generative-ai,3,3,0,3,0.9500,0.8500,생성형 인공지능 입문 | 인공지능을 위한 기계학습 입문 | 인공지능기초,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
프롬프트 엔지니어링,generative-ai,3,3,0,3,0.9500,0.8500,인공지능과문제해결 | AI 프롬프트로 여는 메타버스 콘텐츠 기획 | 인공지능기초,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
대각화,linear-algebra,3,3,2,1,0.9500,0.8500,선형대수 | 선형대수학 | 전산수학1,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
OSI 7계층,networks,3,3,1,2,0.9300,0.8867,컴퓨터네트워크 | 인터넷과 미래 네트워크 기술,learning_objective_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
그리디 알고리즘,algorithms,3,3,2,1,0.8000,0.8000,알고리즘 | AI 알고리즘,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
클러스터링,machine-learning,3,3,2,1,0.8000,0.8000,데이터마이닝 | 인공지능 | 파이썬과 데이터마이닝,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
역행렬,linear-algebra,3,2,1,1,0.8200,0.8100,선형대수 | 전산수학1,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
DNS,networks,3,2,2,0,0.8000,0.8000,컴퓨터네트워크 | 차세대 네트워크,learning_objective_clean,depth3_candidate,pending,,
SELECT,sql,3,2,2,0,0.8000,0.8000,캡스톤디자인,learning_objective_clean,depth3_candidate,pending,,
LLM,generative-ai,3,1,0,1,0.9500,0.9500,인공지능기초,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
벡터 검색,generative-ai,3,1,0,1,0.9300,0.9300,인공지능기초,description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
벡터 데이터베이스,generative-ai,3,1,0,1,0.8200,0.8200,인공지능기초,description_body_clean,depth3_candidate,pending,,
공간복잡도,algorithms,3,1,1,0,0.8000,0.8000,컴퓨터알고리즘,learning_objective_clean,depth3_candidate,pending,,
시간복잡도,algorithms,3,1,1,0,0.8000,0.8000,자료구조,learning_objective_clean,depth3_candidate,pending,,
특잇값 분해,linear-algebra,3,1,1,0,0.8000,0.8000,선형대수학,learning_objective_clean,depth3_candidate,pending,,
과적합,machine-learning,3,1,0,1,0.8000,0.8000,모두를 위한 머신러닝,description_body_clean,depth3_candidate,pending,,
경사하강법,optimization,3,1,0,1,0.8000,0.8000,AI 알고리즘,description_body_clean,depth3_candidate,pending,,
